Doc,Sentiment,Snippet,TF-IDF Keywords,Cosine Keywords,Cluster Keywords,Manual Reference,TF-IDF F1,Cosine F1,Cluster F1
1,positive,"I really liked this Summerslam due to the look of the arena, the curta...","event, match, terrible, took, takes","match, anyways, main, took, terrible","match, terrible, takes, main, card","summerslam, luger, yokozuna, wwf, wrestling",0.0,0.0,0.0
2,positive,Not many television shows appeal to quite as many different kinds of f...,"many, multiple, pilot, keep, element","many, would, episode, television, multiple","would, many, keep, episode, element","farscape, television, miniseries, drama, fans",0.0,0.2,0.0
3,negative,The film quickly gets to a major chase scene with ever increasing dest...,"seagal, steven, bad thing, coherent, pulp","movie plot, movie seems, bad thing, coherent, seagal","kinds, pulp, steven, movie plot, destruction","seagal, chase, hijacking, action, destruction",0.182,0.167,0.182
4,positive,Jane Austen would definitely approve of this one!<br /><br />Gwyneth P...,"emma, law, british, austen, bates","emma, jeremy, austen, bates, british","british, law, steal, emma, highly recommended","emma, paltrow, austen, british, gwyneth",0.6,0.6,0.364
5,negative,"Expectations were somewhat high for me when I went to see this movie, ...","steve, family, wrong, almost, girls","think, wrong, supposed, went, almost","high, family, steve, woman, wrong","carell, anchorman, virgin, sunshine, comedy",0.0,0.0,0.0
6,positive,"I've watched this movie on a fairly regular basis for most of my life,...","tommy, chris, company, tom, funny","funny, comedy, although, chris, tommy","david, big, tom, comedy, tommy","tommy, farley, callahan, comedy, spade",0.2,0.4,0.4
7,positive,For once a story of hope highlighted over the tragic reality our youth...,"beautiful, rising, poverty, dedicated, draws","recommend film, beautiful, world, one man, poverty","beautiful, recommend film, world, subtitles, poverty","favela, rising, documentary, music, brazil",0.2,0.0,0.0
8,positive,"Okay, I didn't get the Purgatory thing the first time I watched this e...","tony, heaven, slap, significant, get","get, people, thinking, getting, like","tony, people, get, like, christian","purgatory, tony, sopranos, episode, inferno",0.2,0.0,0.2
9,negative,I was very disappointed with this series. It had lots of cool graphics...,"host, examples, detail, explain, much better","much better, explain, could, better, series","series, cool, could, better, explain","graphics, documentary, series, detail, audience",0.182,0.2,0.2
10,negative,The first 30 minutes of Tinseltown had my finger teetering on the remo...,"laughed, introduction, scenes, luck, first minutes","first minutes, low budget, minutes, moments, laughed","low budget, minutes, scenes, laughed, joe","tinseltown, pantoliano, writers, storage, bland",0.0,0.0,0.0
11,negative,"jeez, this was immensely boring. the leading man (Christian Schoyen) h...","christian, leading man, immensely, lot better, pulls","movie made, lot better, damn, mediocre, another","another, christian, lot better, damn, moved","schoyen, actor, norwegian, english, boring",0.0,0.0,0.0
12,positive,"Great just great! The West Coast got ""Dirty"" Harry Callahan, the East ...","machine, coast, harry, dirty, cop","cop, dirty, squad, great, machine","great, dirty, cop, harry, squad","sharky, reynolds, narcotics, atlanta, cop",0.2,0.2,0.2
13,negative,It's made in 2007 and the CG is bad for a movie made in 1998. At one p...,"part movie, somehow, movie, act, worse","movie terrible, movie, part movie, terrible, made","made, worse, act, else, movie terrible","dinosaur, animation, cgi, raptor, terrible",0.0,0.222,0.182
14,negative,This movie stinks majorly. The only reason I gave it a 3 was because t...,"anime, graphics, selling, japan, seem like","seem like, graphics, anime, character development, rip","character development, rip, graphics, japan, seem like","anime, japan, graphics, plot, animation",0.545,0.333,0.333
15,negative,We can start with the wooden acting but this film is a disaster. Havin...,"community, shocking, culture, knows, wonder","time even, even, outcome, wonder, anyone","anyone, even, shocking, culture, knows","acting, york, hollywood, culture, seinfeld",0.2,0.0,0.2
16,positive,This movie starts off somewhat slowly and gets running towards the end...,"movie, ideas, main, punishment, philosophical","movie quite, movie, movie thought, philosophical, ideas","main, impress, ideas, movie, philosophical","dostoyevsky, punishment, tragedy, philosophy, character",0.2,0.0,0.0
17,positive,This is a slightly uneven entry with one standout sequence involving a...,"hill, involving, sequence, worth, heist","sequence, film worth, involving, heist, uneven","sequence, worth, involving, anna, shines","heist, diner, kidnap, noir, gang",0.2,0.182,0.0
18,positive,"I was first introduced to John Waters films by seeing ""Female trouble""...","waters, drag, sick, trouble, female","sex, sick, explicit, trouble, drag","sick, female, john, sex, rock roll","waters, flamingos, johnson, maryland, trailer",0.2,0.0,0.0
19,positive,"This movie has very good acting by virtually all the cast, a gripping ...","space, science fiction, station, science, fiction","science fiction, fiction, space, science, chilling","station, science fiction, space, chilling, robot","science, fiction, visuals, music, future",0.444,0.444,0.364
20,positive,I can't help but notice the negative reviews this movie has gotten. To...,"correct, preview, intrigued, clark, identify","movie, negative, intrigued, gotten, correct","movie, negative, rented, grant, gotten","graves, acting, clark, performance, doctor",0.2,0.0,0.0
